number, value             , datetime_start            , datetime_complete         , duration              , params_base_model, params_heads, params_hidden_dim, params_learning_rate  , user_attrs_base_model, user_attrs_heads, user_attrs_hidden_dim, user_attrs_lr         , state
    89, 0.8020202020202021, 2026-03-17 15:40:05.398322, 2026-03-17 15:52:10.894446, 0 days 00:12:05.496124,                  ,            8,               512, 0.005799764199797841  ,                      ,                8,                   512, 0.005799764199797841  , COMPLETE
    90, 0.9007935536515708, 2026-03-17 15:52:10.894446, 2026-03-17 16:12:17.695779, 0 days 00:20:06.801333, resnet34         ,            8,               128, 0.0074904955510916625 , resnet34             ,                8,                   128, 0.0074904955510916625 , COMPLETE
    91, 0.8936363636363636, 2026-03-17 16:12:17.695779, 2026-03-17 16:37:44.984528, 0 days 00:25:27.288749, resnet34         ,            8,               128, 0.007414897967453493  , resnet34             ,                8,                   128, 0.007414897967453493  , COMPLETE
    92, 0.8213029178613594, 2026-03-17 16:37:44.985529, 2026-03-17 16:54:08.244764, 0 days 00:16:23.259235, resnet34         ,            8,               128, 0.007329474365267592  , resnet34             ,                8,                   128, 0.007329474365267592  , COMPLETE
    93, 0.9102718945330136, 2026-03-17 16:54:08.244764, 2026-03-17 17:05:01.901114, 0 days 00:10:53.656350, resnet34         ,            8,               128, 0.008119797441112507  , resnet34             ,                8,                   128, 0.008119797441112507  , COMPLETE
    94, 0.7720486720486721, 2026-03-17 17:05:01.901114, 2026-03-17 17:16:33.513543, 0 days 00:11:31.612429, resnet34         ,            8,               128, 0.007880890324905142  , resnet34             ,                8,                   128, 0.007880890324905142  , COMPLETE
    95, 0.8080808080808081, 2026-03-17 17:16:33.513543, 2026-03-17 17:36:50.361250, 0 days 00:20:16.847707, resnet34         ,            8,               128, 0.009247173702639102  , resnet34             ,                8,                   128, 0.009247173702639102  , COMPLETE
    96, 0.7285461205461204, 2026-03-17 17:36:50.361250, 2026-03-17 17:45:45.624847, 0 days 00:08:55.263597, resnet34         ,            8,               128, 0.008153783923117235  , resnet34             ,                8,                   128, 0.008153783923117235  , COMPLETE
    97, 0.7033666024378099, 2026-03-17 17:45:45.624847, 2026-03-17 17:59:13.662649, 0 days 00:13:28.037802, resnet34         ,            8,               128, 0.007106478024887487  , resnet34             ,                8,                   128, 0.007106478024887487  , COMPLETE
    98, 0.7986746213636969, 2026-03-17 17:59:13.662649, 2026-03-17 18:15:59.356264, 0 days 00:16:45.693615, resnet34         ,            8,               128, 0.007477833346239242  , resnet34             ,                8,                   128, 0.007477833346239242  , COMPLETE
    99, 0.7239909297052154, 2026-03-17 18:15:59.356264, 2026-03-17 18:37:11.229591, 0 days 00:21:11.873327, resnet34         ,            8,               128, 0.007864091709137077  , resnet34             ,                8,                   128, 0.007864091709137077  , COMPLETE
